127.0.0.1 - - [06/Mar/2025:09:39:19 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:39:22 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:39:22 +0545] "GET /MyTestJavaPrj1/src/main/webapp/Css/login.css HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:39:22 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:40:03 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:40:03 +0545] "GET /MyTestJavaPrj1/src/main/webapp/Css/login.css HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:40:35 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:40:35 +0545] "GET /MyTestJavaPrj1/pages/Css/login.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:40:41 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:40:42 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:41:54 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:41:54 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:16 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:16 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:24 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:24 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:32 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:32 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:35 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:35 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:38 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:42:38 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 178
